range,name,url,biaosheng
1,摆渡人3无境之爱（千万畅销心灵治愈小说“摆渡人”系列完结篇，令...,http://product.dangdang.com/27847515.html,五星评分：31546次
2,安妮日记,http://product.dangdang.com/25580077.html,五星评分：10273次
3,名人传,http://product.dangdang.com/27898780.html,五星评分：10254次
4,给青年的十二封信,http://product.dangdang.com/27898748.html,五星评分：10222次
5,城南旧事,http://product.dangdang.com/25578129.html,五星评分：10162次
6,呼叫空港,http://product.dangdang.com/25317388.html,五星评分：10243次
7,浮生六记,http://product.dangdang.com/27863165.html,五星评分：9895次
8,间谍之死(拒绝好莱坞翻拍的年度作品，刺激程度超越《碟中谍》，更...,http://product.dangdang.com/25345990.html,五星评分：31050次
9,销售培训：让每个销售员都成为销售高手,http://product.dangdang.com/27912734.html,五星评分：5932次
10,无可替代的你,http://product.dangdang.com/25197768.html,五星评分：5720次
11,艾迪的告别（法国版《乡下人的悲歌》，比《无声告白》更真实的人...,http://product.dangdang.com/27921926.html,五星评分：5466次
12,朝与同歌暮与酒,http://product.dangdang.com/27918847.html,五星评分：5484次
13,悠长假日,http://product.dangdang.com/27921906.html,五星评分：5374次
14,魔力四射：如何打动、亲近和影响他人（一本改变人生思维方式的魔...,http://product.dangdang.com/24157581.html,五星评分：22695次
15,零售运营：连锁企业管理手册,http://product.dangdang.com/27912733.html,五星评分：4378次
16,里娜的奇幻丛林,http://product.dangdang.com/25248047.html,五星评分：6778次
17,委托人DOCTOR（全2册）,http://product.dangdang.com/25317389.html,五星评分：7850次
18,《另类间谍》（推理小说名家赫尔曼之战争三部曲 展现人性深处的生...,http://product.dangdang.com/25254451.html,五星评分：19856次
19,藏在回忆里的风景（全二册）,http://product.dangdang.com/25303200.html,五星评分：7546次
20,养成良好习惯，高效管理时间,http://product.dangdang.com/27889474.html,五星评分：17610次
